id,answer
239,the peoples republic of china
240,carlos espínola
241,the relay
242,several protesters
243,chinese media
244,tibet
245,saint petersburg
246,the government
247,may 3
248,paris
249,tanzania
250,chinese media coverage
251,72 centimetres
252,tibetan flags
253,two
254,1200
255,the days
256,great britain
257,april
258,two
259,the first time
260,china
261,kim kyung han
262,macau
263,150000strong
264,an effort
265,protests
266,the cancelling
267,chinese media coverage
268,great britain
269,the middle east
270,india
271,macau
272,ancient links
273,tony goh
274,the government
275,reporters
276,people
277,response
278,istanbul
279,torchbearers
280,japanese buddhist temple zenkōji
281,chinese
282,the paralympic games
283,may 4
284,carlos espínola
285,parliament
286,south korea
287,bangkok
288,several symbolic protests
289,libération
290,april 16
291,assurances
292,buenos aires
293,trocadéro
294,the torchbearers
295,trocadéro
296,fu ying
297,april 9
298,a protest banner
299,prior
300,japan
301,chinese officials
302,several times
303,thousands
304,japan
305,cities
306,china
307,criticism
308,carlos espínola
309,bedi
310,85000
311,peter ueberroth
312,both orchidbbscom and cyberctmcom internet forums
313,parliament
314,justin herman plaza
315,pyongyang
316,thousands
317,japan
318,chan cheong
319,a total
320,baichung bhutia
321,the relay
322,april 11
323,the torch
324,1988
325,tokyo
326,30
327,ted quinlan
328,65 kilometre per hour
329,san francisco
330,the latin america
331,islamabad
332,thailand
333,tsim sha tsui
334,islamabad
335,129 days
336,jin jing
337,april 1 2008
338,the torch relay leg
339,pyongyang
340,jakarta
341,up to 600
342,up to 600
343,lê minh phiếu
344,united states of america
345,nagano
346,francesca martinez
347,the protests
348,kamal nath
349,april 16
350,tokyo
351,the torch
352,the bbcs paul danahar
353,the same pitch
354,the total number
355,pitch
356,pitch
357,indefinite pitch
358,500
359,frequency
360,the auditory attribute
361,at least one model
362,overtones
363,the twelvenote chromatic scale
364,a4
365,not the higher frequencies
366,12
367,an auditory sensation
368,a sound
369,some theories
370,the coast
371,uk
372,the annual southampton boat show
373,seven
374,the city
375,royalists
376,uk
377,the lloyds register group
378,the most successful college american football teams
379,the 1960s
380,18thcentury
381,the 9th century
382,london
383,the river test and river itchen
384,the 10th century
385,630 people
386,southampton city council
387,roughly half
388,the 2015 council elections
389,more than 2000
390,the centre
391,just over a week
392,924 per cent
393,one
394,those walls
395,the city
396,the importance
397,about 1888
398,november 2014
399,1938
400,one third
401,just over a week
402,a large shopping centre
403,evidence
404,the latter half of the 20th century
405,500000
406,the settlement
407,the 15th century
408,the 1940s
409,his 1854 book
410,this town
411,the city walls
412,236900
413,2004
414,two
415,the first half of the 20th century
416,1964
417,the worst behaved secondary schools
418,part
419,four
420,1840
421,1862
422,the city council
423,m27
424,the citys bargate
425,1417
426,the southampton docks
427,1339
428,202
429,1976
430,the city
431,the friars
432,the centre
433,2007
434,a port
435,hampshire
436,1066
437,british gas
438,south east england
439,the south of england
440,only about
441,167 per 1000 population
442,the university of southampton
443,the princess alexandra dock
444,the vast majority
445,classical concerts
446,southampton
447,southampton
448,october 2014
449,unilink
450,cent
451,the third ferry
452,the university of southampton
453,1973
454,provide
455,1966
456,hampshire
457,town quay
458,headquarters
459,the city
460,additional police stations
461,southampton solent university
462,two
463,uk
464,solent
465,the university of southampton
466,27 june 1640
467,the college
468,hampton
469,1339
470,1233
471,university hospital southampton nhs foundation trust
472,the biggest operator
473,42
474,1959
475,354
476,higher
477,the m27
478,the coast
479,hanover buildings
480,the city
481,december 2007
482,the 12th century
483,clausentum
484,southampton
485,2004
486,1538
487,this town
488,three fire stations
489,southampton docks
490,236900
491,uk
492,southampton
493,the 13th century
494,1066
495,the site
496,two
497,plans
498,town quay
499,a port
500,just over a quarter
501,the main station
502,30–34 years
503,southampton
504,portswood banister park
505,162 percent
506,king henrys departure
507,the route
508,the trust
509,this town
510,162 percent
511,two large live music venues
512,three
513,the university of southampton
514,london
515,the river test and river itchen
516,today
517,the area
518,hampshire county council
519,the duchess
520,the city
521,1938
522,a large shopping centre
523,uk
524,2009
525,awaaz fm
526,1000
527,the southampton docks
528,the south of england
529,september 1940
530,his 1854 book
531,48
532,plymouth
533,this town
534,southampton water
535,the city
536,the 12th century
537,west end
538,the river test and river itchen
539,1966
540,49 per cent
541,germany
542,these charters
543,a notable former player
544,the south of england
545,£30 million
546,the seacity museum
547,500000
548,itchen
549,1348
550,headquarters
551,1835
552,two
553,1310
554,southampton airport
555,the city
556,the crimean war
557,18thcentury
558,23
559,ocean race
560,southampton
561,the two local sunday leagues
562,part
563,m27
564,500000
565,world war ii
566,three
567,nearly 2000
568,the city
569,north
570,england
571,1310
572,its designer
573,successive incarnations
574,ikea
575,docks
576,london
577,ww2
578,southampton
579,two large live music venues
580,the variety
581,200910
582,southampton
583,the academic ranking of world universities
584,today
585,january 2007
586,northam area
587,24 february 1964
588,18thcentury
589,the university of southampton
590,march 2007
591,the university of southampton
592,three
593,john choules
594,the duchess
595,48
596,one
597,the coast
598,some controversy
599,167
600,the boat show
601,hampshire county
602,council
603,354
604,500000
605,the city
606,plans
607,langstone
608,the city
609,11
610,southampton solent university
611,uk
612,linda norris
613,passenger services
614,southampton
615,port
616,provides
617,a port
618,south hampshire
619,october 1838
620,one
621,october
622,hampshire county
623,1310
624,hundreds
625,the city walls
626,london
627,march 1644
628,three
629,the river test and river itchen
630,three
631,the river test and river itchen
632,this area
633,an estimated 236900 people
634,docks
635,the whitbread
636,the princess alexandra dock
637,the town
638,the council
639,1944
640,the 9th century
641,june
642,1310
643,the city
644,southampton
645,the river test and river itchen
646,the site
647,shirley
648,eastleigh
649,the southampton docks
650,the importance
651,the united kingdom
652,england
653,car manufacture
654,october 2014
655,185 per cent
656,the battle of agincourt
657,2005
658,the nightclub
659,unilink
660,may 1840
661,october 2014
662,southamptons largest retail centre
663,75 miles
664,the common
665,enterprise
666,sunday
667,this town
668,royston smith
669,the city
670,southampton city college
671,southampton airport
672,the rest
673,the coast
674,strong
675,the city hockey club
676,the river test and river itchen
677,between 1996 and 2004
678,the talking heads
679,an attempt
680,further remains
681,good
682,the supermarine spitfire
683,the local itv franchise
684,the city
685,the northern tip
686,king henrys departure
687,france
688,the southampton evening cricket league
689,uk
690,swaythling
691,the two local sunday leagues
692,uk
693,redbridge
694,red funnel
695,1938
696,over 40000
697,the crimean war
698,track
699,1862
700,1888
701,the uk
702,two main termini
703,a ferry port
704,1879 to 1949
705,the river test and river itchen
706,henry vs famous warship hms grace dieu
707,1740
708,southampton
709,the national lottery
710,the isle of wight
711,the royalists
712,hampshire
713,february 2011
714,females
715,nearly 92
716,97
717,the country
718,just four women
719,the middle east
720,north america
721,nearly 92
722,low
723,however most people
724,the 1890s
725,the 1990s
726,the middle east
727,today
728,the probability
729,2010
730,nearly 80
731,the 11th century
732,today
733,about 40
734,often
735,the middle ages
736,recent years
737,certain issues
738,the midrash compilation
739,jews
740,several famous people
741,the holocaust
742,1095
743,slavs
744,less
745,the estimated 88 million
746,israel
747,hebrew
748,large
749,the roman empire
750,recent years
751,1750
752,ashkenazi jews
753,the 11th century
754,1095
755,1095
756,elevated frequency
757,around 475
758,the concept
759,uses
760,the year 1000
761,ancient levantine origins
762,the middle ages
763,respect
764,the middle east
765,at least 80 percent
766,several million
767,whose ethnic background
768,hebrew
769,prechristian times
770,a process
771,the term
772,the middle ages
773,80 percent
774,another trend
775,the year 1000
776,the 11th century
777,genesis rabbah
778,ashkenaz
779,the talmud
780,modernday italians
781,30
782,five thousand
783,óbuda
784,the study
785,115
786,nonjewish ethnic populations
787,middle eastern
788,a quarter
789,1095
790,the 8th and 9th century
791,jerusalem
792,the latter half of the 11th century
793,80 percent
794,the yoma tractate
795,conformity
796,ashkenaz
797,hebrew
798,the greek historian
799,the greek historian
800,the 12th century
801,the biblical figure
802,the first decades
803,sergio dellapergola
804,97
805,the 1990s
806,ashkenaz
807,80 percent
808,ashkenazi
809,hebrew
810,25
811,over 25
812,the upper euphrates
813,the nusach
814,north america
815,2002
816,conformity
817,ash
818,a greek word
819,raphael patai
820,ashkenaz
821,lubavitch hasidim
822,the estimated 88 million
823,genesis rabbah
824,the study
825,uranus
826,11 july neptune
827,the largest neptunian moon
828,objects
829,the difference
830,the sun
831,далайн ван
832,the result
833,its small apparent size
834,the fourthlargest planet
835,neptune
836,the troposphere
837,2007
838,jupiter
839,modern greek
840,uranus
841,johann galle
842,the same way
843,william lassell
844,the late 2020s or early 2030s
845,11 july 2011
846,its gravity
847,hawaii
848,neptunes composition
849,200
850,°
851,persistent methane clouds
852,the scooter
853,the small dark spot
854,voyager
855,highaltitude clouds
856,voyager
857,a 11 resonance
858,100 kpa
859,1843
860,the winds
861,the only spacecraft
862,11
863,14 known moons
864,heinrich darrest
865,25 august 1989
866,galle
867,dennis rawlins
868,1821
869,only 025
870,roughly 40
871,the upperlevel clouds
872,the sun
873,the first and so far only object
874,1989
875,adams
876,17
877,the le verrier ring
878,the discovery
879,jupiter
880,the current most widely accepted explanation
881,nahuatl
882,2019
883,ob
884,the penultimate known planet
885,traces
886,neptune
887,2006
888,23
889,highaltitude clouds
890,the first and so far only object
891,14
892,a planetary ring system
893,the most heavily populated resonance
894,the le verrier ring
895,500 kpa
896,voyager 2s arrival
897,these circumferential bands
898,neptunes atmospheric methane content
899,1989
900,the discovery
901,the evening
902,december 1612
903,these altitudes
904,vortex structures
905,neptunes more varied weather
906,roughly 40
907,the international astronomical union
908,the sun
909,current models
910,1997
911,planetary science
912,400 ms
913,1981
914,the images
915,1017
916,earth
917,neptunes more varied weather
918,reaction
919,the united states
920,samuel pufendorf
921,dubious – discuss mass culture
922,citation
923,two
924,terror management theory
925,29
926,citation
927,nineteenthcentury
928,the end of the last ice age
929,other 19thcentury critics
930,overtly
931,terror management theory
932,rousseau
933,the 1970s
934,around 50000 years ago
935,the united states
936,diffusion
937,the prussian linguist
938,the 1950s and 1960s
939,stuart hall
940,an élite ideal
941,the present legislation
942,thomas jefferson
943,1971
944,nonconformists
945,all areas
946,the pervasive secularism
947,that wall
948,may 3 2006
949,still other scholars
950,the midtwentieth century
951,religious freedom
952,may
953,madison
954,december 20 2005
955,william penn
956,two
957,some legal scholars
958,the phrase
959,reynolds
960,1776
961,jeffries
962,new netherland
963,december
964,robert s wood
965,us
966,1962
967,jeffries
968,1994
969,us
970,opposed
971,patrick henry
972,1947
973,watkins
974,the central point
975,many early immigrant groups
976,1971
977,may
978,thomas jefferson
979,states rights
980,1879
981,religious bigotry
982,no one religious society
983,1786
984,religious beliefs
985,the national motto
986,us
987,us
988,2002
989,new england
990,rhode island
991,three
992,the united states
993,the pledge
994,the principle or primary effect
995,us
996,john f kennedy
997,south carolina
998,roger williams
999,the purpose of the display educating the public on american legal traditions was secular in nature
1000,december 27 1657
1001,jeffersons concept
1002,jeffersons statute
1003,the eighteenth century
1004,the required beliefs
1005,the separation
1006,a consequence
1007,1878
1008,1961
1009,citation
1010,proclamations
1011,a fivejustice majority
1012,1776
1013,madison
1014,roger williams
1015,three
1016,jeffersons metaphor
1017,the umayyad dynasty mosaic making
1018,constantinople
1019,venetian
1020,one solsternus
1021,the most superb example
1022,only fragments
1023,the end of the 5th century
1024,10thcentury
1025,cubes
1026,5thcentury
1027,17thcentury
1028,the grand prince
1029,jerusalem
1030,the 12th century
1031,more fragments
1032,whose sail
1033,the most prominent artist
1034,greek masters
1035,the roman church
1036,the 8th century
1037,the mosaics
1038,roger ii
1039,the double indirect method
1040,another example
1041,affricisco
1042,hand
1043,the human figure
1044,arta
1045,the decoration
1046,the abundant variety
1047,the monastic communities
1048,5thcentury
1049,the 6th to the 15th centuries
1050,8th–9th centuries
1051,east
1052,mary
1053,these themes
1054,the eastern mediterranean
1055,the late 11th century
1056,jerusalem
1057,southern italy
1058,the mausoleum
1059,1169
1060,piazza armerina
1061,5thcentury
1062,the royal basilica
1063,taddeo zuccari
1064,the second half of the 5th century
1065,emperor saint justinian i
1066,the floor
1067,thessaloniki
1068,the normal technique
1069,constantinople
1070,the mosaics
1071,1288–94
1072,1310–14
1073,the 8th century
1074,moorish spain
1075,portugal
1076,2003
1077,the seasons
1078,the church of the holy apostles
1079,ravenna
1080,raphael
1081,1210
1082,presentday
1083,pebble mosaics
1084,1894
1085,st louis
1086,the arabs
1087,constantinople
1088,1043–1056
1089,10thcentury
1090,greek figural mosaics
1091,constantine monomachos
1092,these icons
1093,12thcentury
1094,a striking technical innovation
1095,calçada portuguesa
1096,the river mureş
1097,a multicultural town
1098,the santa constanza
1099,damascus
1100,milan
1101,outstanding examples
1102,styles
1103,the greek artists
1104,the only surviving 12thcentury mosaic work
1105,raphael
1106,second
1107,the large villa rustica
1108,works
1109,1971–72
1110,1607
1111,around 1143
1112,the 17th century
1113,maon
1114,the abundant variety
1115,jordan
1116,constantinople
1117,the middle ages
1118,the symbolism
1119,santa maria
1120,the abbot
1121,the julii
1122,venetian
1123,1913
1124,the 17th century
1125,damascus
1126,the middle
1127,1310–14
1128,emperor maximian
1129,outstanding examples
1130,10
1131,the 18th century
1132,hand
1133,religious umayyad mosaic works
1134,constantine monomachos
1135,lebanon
1136,the names
1137,18thcentury
1138,accidents
1139,1986
1140,the late 4th century
1141,three
1142,hand
1143,more figures
1144,damascus
1145,the 12th–13th century
1146,the french invader
1147,constantine monomachos
1148,roger ii
1149,saint victor
1150,1589
1151,constantine monomachos
1152,venetian craftsmen
1153,limoges
1154,5thcentury
1155,almost all were destroyed in 1747
1156,1930
1157,the seasons
1158,the double indirect method
1159,the 17th–19th centuries
1160,exotic or mythological animals
1161,ravenna
1162,the 1960s
1163,his name
1164,64 ad
1165,albania
1166,calçada portuguesa
1167,three
1168,raphael
1169,the 6th or 9th century
1170,1043–1056
1171,the early 4th century
1172,the nile delta
1173,thanlyin
1174,about 80
1175,official united states policy
1176,its capital city
1177,both these names
1178,hanthawaddy monarchs
1179,2008 rice production
1180,the name
1181,obama
1182,an estimated 200000
1183,this group
1184,early civilisations
1185,myanmar
1186,english
1187,both these names
1188,approval
1189,obama
1190,official united states
1191,10
1192,mong mao
1193,1930 km
1194,us
1195,myanmar
1196,official us report
1197,the majority burmese bamar ethnic group
1198,mong mao
1199,the name
1200,burmas education system
1201,august
1202,colonial architectural influences
1203,2008
1204,official united states policy
1205,monks
1206,400000 years ago
1207,1770
1208,official united states policy
1209,1740
1210,400000 years ago
1211,the name
1212,naypyidaw
1213,a major battleground
1214,the 16th century
1215,hanthawaddy monarchs
1216,violations
1217,1883
1218,an equitable right
1219,civil law
1220,the uk
1221,the implied analogy
1222,these lines
1223,2004
1224,an estimated 18 million
1225,this term
1226,ip
1227,law professor
1228,one years
1229,berne
1230,lawrence lessig
1231,the scope
1232,the united states
1233,this definition
1234,the scope
1235,patent infringement
1236,lawrence lessig
1237,the united states
1238,1994
1239,citation
1240,1846
1241,us
1242,other arguments
1243,this definition
1244,three
1245,the term
1246,infringement
1247,a specific technological problem
1248,these lines
1249,1883
1250,trips
1251,copyright
1252,limitations
1253,the recording industry association
1254,caused
1255,stephan kinsella
1256,the united states
1257,the context
1258,an equitable right
1259,the context
1260,other recent developments
1261,1791
1262,may 2011
1263,1998
1264,trade secret misappropriation
1265,2001
1266,october 1845
1267,civil law
1268,1883
1269,one years
1270,brown
1271,17 the stated objective
1272,the motion picture association of america
1273,uk
1274,trademark infringement
1275,millions
1276,ip rights
1277,the term
1278,some critics
1279,intellectualproperty rights
1280,native cultures
1281,berne
1282,the detriment
1283,infringement
1284,the assumption
1285,a patent
1286,muhammad ali
1287,omar pasha
1288,the ingur river
1289,1830
1290,france
1291,menshikov
1292,the ottoman empire
1293,the crimean war
1294,1830
1295,calafat
1296,constantinople
1297,the black seas
1298,vidin
1299,july 1854
1300,26 july
1301,omar pasha
1302,the russians
1303,omar pasha
1304,may 1854
1305,constantinople
1306,fewer than half
1307,spring
1308,muravyev
1309,a hill
1310,august 1855
1311,nicholas
1312,460
1313,four
1314,the russians
1315,both sides
1316,william howard russell
1317,this time
1318,1857
1319,25 september
1320,william howard russell
1321,the war
1322,nicholas
1323,cholok river
1324,piedmont
1325,nicholas
1326,late september
1327,the year
1328,three
1329,bulgaria
1330,alexander ii
1331,menshikov
1332,cronstadt
1333,kept
1334,walachia
1335,hms prince
1336,turkey
1337,the azov sea
1338,the black sea
1339,31 december
1340,cronstadt
1341,george hamiltongordon
1342,saint nicholas
1343,1853
1344,greece
1345,the local commanders
1346,the russians
1347,william howard russell
1348,constantinople
1349,nicholas
1350,nicholas
1351,benjamin disraeli
1352,nicholas
1353,åland islands
1354,alexander ii
1355,nicholas
1356,cardigan
1357,the russoturkish war
1358,prussia
1359,omar pasha
1360,october 1853
1361,the french
1362,greece
1363,1830
1364,nicholas
1365,april
1366,the winter of 1854
1367,the crimean war
1368,a russian cavalry movement
1369,catholic support
1370,the russian government
1371,1830
1372,alfred nobel
1373,omar pasha
1374,william howard russell
1375,september 1853
1376,the danube river
1377,ottoman forces
1378,william howard russell
1379,1830
1380,the local commanders
1381,la valette
1382,28 march 1854
1383,1871
1384,roger fenton
1385,the russian troops
1386,balaklava
1387,august
1388,başgedikler
1389,14 november
1390,alfred lord tennyson
1391,finally
1392,constantinople
1393,the russians
1394,439 an electrical telegraph
1395,victor emmanuel ii
1396,1830
1397,constantinople
1398,kronstadt
1399,the black sea
1400,danube
1401,gallipoli
1402,august
1403,calafat
1404,this time
1405,cardigan
1406,19 october
1407,rossiya
1408,sevastopol
1409,dobruja
1410,3300
1411,sevastopol
1412,victor emmanuel ii
1413,nicholas
1414,europe
1415,this time
1416,late september
1417,nicholas
1418,1831
1419,france
1420,the times newspaper
1421,a w
1422,romania
1423,the note
1424,a large body
1425,snow
1426,march 1854
1427,menshikov
1428,the azov sea
1429,sunday
1430,taganrog
1431,8000
1432,the baltic waswhen
1433,omar pasha
1434,5 september
1435,the crimean war
1436,benjamin disraeli
1437,başgedikler
1438,alaska
1439,karl marx
1440,russian america
1441,1830
1442,the ottoman empire
1443,aberdeen
1444,however
1445,the kerch strait
1446,uk
1447,8000
1448,september 8000
1449,1830
1450,may 1851
1451,april 1854
1452,201 the ships
1453,greece
1454,april 1854
1455,the bay
1456,1830
1457,menshikov
1458,the crimean war
1459,sinope
1460,30 march 1856
1461,karl marx
1462,dobruja
1463,19 october
1464,the black sea
1465,greeks
1466,about 20000
1467,menshikov
1468,the war
1469,the west
1470,the battle of sinop
1471,1830
1472,8000
1473,september 1854
1474,the crimean war
1475,1830
1476,the malakoff
1477,balkans
1478,february
1479,the clerical party
1480,a civilian engineering crew
1481,30 march 1856
1482,menshikov
1483,about 30000
1484,sevastopol
1485,paris
1486,popularisation
1487,little advance
1488,a strong position
1489,otto von bismarck
1490,russia
1491,omar pasha
1492,1830
1493,the åland war
1494,nicholas
1495,the telegraph
1496,25 october
1497,another seventeen years
1498,the emperors
1499,eight years old
1500,the 1720s
1501,yongzheng
1502,the qing dynasty
1503,projapanese koreans
1504,the name
1505,the sixtyone year
1506,1750
1507,dorgon
1508,sun yatsen
1509,the qing emperors
1510,eight
1511,the qing dynasty
1512,1900
1513,the empire of the great qing
1514,china
1515,yongzheng
1516,diplomatic and strategic problems
1517,instead
1518,the name
1519,qing armies
1520,the first opium war
1521,yuan shikai
1522,yingzhen
1523,over 3400
1524,china
1525,peasant rebels
1526,britain
1527,the qing emperors
1528,the kangxi emperor
1529,the xiang army
1530,1641
1531,the age of five in 1861
1532,a team
1533,yingzhen
1534,the shunzhi emperor
1535,1644
1536,han bannermen
1537,li hongzhang
1538,galdan
1539,beijing
1540,the kangxi emperor
1541,another government institution
1542,the mid19th century
1543,1661
1544,400000 green standard army soldiers
1545,1683
1546,the fall
1547,li hongzhang
1548,some 20 million
1549,wu sangui
1550,the 18th century
1551,wu sangui
1552,chinese
1553,late ming dynasty
1554,1641
1555,wu sangui
1556,the qing organization
1557,sun yatsen
1558,jianzhou
1559,xinjiang
1560,1860
1561,puyi
1562,ming general wu sangui
1563,yuan shikai
1564,taiwan
1565,the chongzhen emperor
1566,the sixtyone year reign
1567,the early 20th century
1568,the 1930s
1569,the department
1570,mongol
1571,the guangxu emperor
1572,hong taiji
1573,cian
1574,beijing
1575,jianzhou
1576,hong xiuquan
1577,the han chinese
1578,xinjiang
1579,the british
1580,400000
1581,beijing
1582,dungan revolt
1583,chinese
1584,the 1930s
1585,yingzhen
1586,the late 19th century
1587,dungan revolt
1588,calligraphy
1589,these units
1590,jiangnan
1591,the qing surrender
1592,wu sangui
1593,unsatisfied
1594,the name
1595,several ming princes
1596,53
1597,the board
1598,koxinga
1599,eight years
1600,promises
1601,china
1602,the qing
1603,the age of five in 1861
1604,xinjiang
1605,1661
1606,day
1607,the qianlong emperor
1608,the chongzhen emperor
1609,the turnover
1610,400000
1611,between 1861 and 1873
1612,the three liaodong han bannermen officers
1613,the early manchu rulers
1614,the qing court
1615,the most significant fact
1616,beijing
1617,1661
1618,1858
1619,han bannermen
1620,eight regional viceroys
1621,18
1622,manchu rulers
1623,the ming dynasty
1624,jiading
1625,17
1626,this cabinet
1627,1681
1628,1842
1629,1711
1630,yingzhen
1631,cian
1632,november 14 1908
1633,nine
1634,empress dowager cixi
1635,dungan revolt
1636,the suiyuan shidan
1637,the qianlong emperor
1638,li zicheng
1639,wu sangui
1640,1673
1641,eighteen
1642,2000 years
1643,80
1644,the daoguang emperor
1645,november 14 1908
1646,the ming dynasty
1647,yaqub beg
1648,september 1643
1649,li zicheng
1650,the yongying system
1651,the imperial palace
1652,16731674
1653,november 14 1908
1654,han bannermen
1655,only 16
1656,zheng keshuang
1657,bannermen
1658,india
1659,1854
1660,far
1661,china
1662,the remaining banners
1663,yingzhen
1664,the qianlong emperors reign
1665,christianity
1666,over 3400
1667,five
1668,the qing
1669,1681
1670,shang kexi
1671,the remaining banners
1672,another seventeen years
1673,this multiethnic force
1674,the manchus
1675,xinjiang
1676,the terms
1677,the late 19th century
1678,beijing
1679,ming han chinese armies
1680,february 12 1912
1681,qing
1682,the suiyuan shidan
1683,the qing dynasty
1684,1782
1685,1637
1686,full control
1687,the qing dynasty
1688,gong ma
1689,this new force
1690,the late 19th century
1691,the chinese
1692,ningguta
1693,1641
1694,the chinese
1695,li zicheng
1696,november
1697,these units
1698,the early manchu rulers
1699,puyi
1700,projapanese koreans
1701,1870
1702,wu sangui
1703,wu
1704,the short story form
1705,these units
1706,manchuria
1707,eight years old
1708,allied
1709,too few ethnic manchus
1710,qianlong
1711,the remaining banners
1712,17
1713,imperial patronage
1714,november 14 1908
1715,ningguta
1716,european trading posts
1717,nurhaci
1718,1723
1719,guangxu
1720,1727
1721,1860
1722,november 1 1897
1723,hong taiji
1724,complete repository
1725,october 30
1726,the suiyuan shidan
1727,only two
1728,earth
1729,the evening
1730,the opposition
1731,continental europe
1732,the united states
1733,time
1734,the next year
1735,all clocks
1736,the first days of spring
1737,all years
1738,dst
1739,rural
1740,summer
1741,1992
1742,2008
1743,some farmers groups
1744,us
1745,normal dst
1746,begin
1747,545
1748,that day
1749,the forms
1750,argue
1751,2011 to 2014
1752,tzamericanewyork
1753,broadly
1754,standardize
1755,north american
1756,1993
1757,about 35
1758,the 2008 doe report
1759,north america
1760,that day
1761,some early proponents
1762,the retinitis pigmentosa foundation fighting blindness
1763,willetts 1907 proposal
1764,2005
1765,the first days of spring
1766,the united kingdom
1767,yearround
1768,2005
1769,keeps
1770,xinjiang
1771,1895
1772,us
1773,merriamwebster
1774,daylight
1775,the united kingdom
1776,sunlight exposure
1777,dawn
1778,winston churchill
1779,computer software
1780,the fate
1781,1907
1782,1995
1783,microsoft windows
1784,negative dst
1785,britain
1786,standard time
1787,that day
1788,merriamwebsters
1789,one
1790,summer
1791,a correlation
1792,cet
1793,all years
1794,fixed work schedules
1795,example
1796,hungary
1797,ramadan the month
1798,increases
1799,the 1970s
1800,the older form
1801,march 2011
1802,1966
1803,us
1804,winter
1805,north america
1806,1895
1807,issued
1808,observed
1809,the northern summer
1810,outdoor sports enthusiasts
1811,some countries
1812,dst inherits
1813,dst
1814,filesystem
1815,2007
1816,willett
1817,us retailing and manufacturing interests
1818,st
1819,people
1820,time zone differences
1821,an early goal
1822,after
1823,merriamwebster
1824,regions
1825,kingsford charcoal
1826,a 1999 study
1827,many
1828,two
1829,the gregorian calendar
1830,2007
1831,at least two
1832,brazil
1833,clocks
1834,daily
1835,europe
1836,britain
1837,1995
1838,summer
1839,example
1840,daylight
1841,the united kingdom
1842,franklins 1784 satire
1843,daylight
1844,electricity use
