id,answer
295,except on the trocadéro on the trocadéro
296,olympics
297,8 lanterns
298,"""one world"
299,said
300,nagano leg
301,green party officials
302,chinese
303,success
304,nagano leg
305,half-an-hour
306,buenos aires
307,trocadéro
308,china
309,china's human rights record
310,regions
311,global perspective
312,orchidbbs.com and cyberctm.com internet forums
313,dalai lama
314,san francisco
315,april
316,route
317,lovely city
318,
319,casino tycoon stanley ho
320,concerns
321,chinese
322,olympic controversy
323,chinese
324,april
325,1964 tokyo edition
326,journey
327,ngunnawal people
328,2 inches
329,chinese
330,torch relay
331,april 16
332,thailand
333,kazakhstan nursultan nazarbaev
334,supposed to carry the torch around islamabad islamabad to security concerns regarding `` militant threats or anti-china protests ''
335,8 lanterns
336,security concerns
337,april
338,chinese
339,human rights
340,april
341,relay
342,"2,000 and 10,000 chinese supporters"
343,blog
344,april
345,"""lucky cloud"
346,olympic flame
347,xinhua
348,chinese sources
349,french capital
350,1964 tokyo edition
351,8 lanterns
352,coverage
353,temperaments
354,"16 to 16,000 hz"
355,frequency
356,number
357,specific pitch
358,100 cents
359,wave
360,slower oscillation
361,pitch
362,frequencies
363,musical tuning
364,temperaments
365,total spectrum
366,number
367,a880
368,instrument
369,pitch
370,southampton
371,nine miles
372,600 exhibitors
373,single day
374,marinas
375,city's population
376,estimates
377,specially developed site
378,eastleigh
379,services
380,pows
381,medieval southampton
382,midlands
383,river test
384,medieval southampton
385,southampton
386,16 wards
387,cyclists
388,city
389,physical bullying
390,watermark westquay
391,600 exhibitors
392,mixed race
393,one
394,walls
395,354 local authorities
396,single day
397,southampton town
398,november
399,september
400,elections
401,600 exhibitors
402,city's largest employers
403,evidence
404,petrochemicals
405,westquay park
406,hampton
407,bath house
408,pre-war era
409,handsome width
410,city
411,first purpose-built artillery fortification
412,galleries
413,melody
414,large ships
415,uk
416,changed to hampshire in 1959 although the county had been commonly known as hampshire or hantscire for centuries
417,worst behaved secondary schools
418,boys
419,sotonians
420,south western railway company
421,"22,000 students"
422,westquay park
423,programme
424,contemporary art installations
425,england
426,programme
427,town
428,202 crimes
429,96.1 °
430,aviation
431,depth
432,city's buildings
433,southampton container terminals
434,29 june
435,new county council
436,normandy
437,united kingdom
438,uk
439,city
440,city
441,area
442,flights
443,marina
444,city
445,southampton
446,queen mary
447,guildhall
448,four-year term
449,road
450,16.2 percent
451,southampton water
452,southampton
453,dates
454,provide
455,eight years
456,hampshire ceremonial county
457,tide
458,3 july
459,professional athletes
460,southampton
461,local train services
462,guildhall
463,home to one of the most successful college american football teams in the uk to one of the most successful college american football teams in the uk
464,portsmouth
465,headquarters
466,town
467,adult learners
468,medieval southampton
469,town
470,last remains
471,city
472,pound tree road
473,regional economy
474,centuries
475,354 local authorities
476,higher crime rate
477,city
478,dance music's top acts
479,this
480,1980s popstar howard jones
481,three queens
482,wool
483,bargate
484,running mate
485,104 decibels
486,last remains
487,name
488,stations
489,luftwaffe bombing raids
490,galleries
491,western docks and city centre
492,spencer
493,13th century
494,england
495,
496,large ships
497,£100m development
498,wool
499,29 june
500,health and education sector
501,southampton central
502,age range
503,council estates
504,southampton central railway station
505,health and education sector
506,high street
507,north
508,city
509,current and 578th sherriff
510,health and education sector
511,city's primary producing theatre
512,portsmouth
513,student population
514,south korea
515,river
516,
517,transit models
518,st. denys
519,13 june
520,plc
521,one
522,retail park
523,physical or verbal assaults
524,eastern docks
525,web
526,1
527,southampton
528,1960s
529,vicinity
530,oxford
531,16 wards
532,plymouth
533,industrial revolution
534,large ships
535,next few decades
536,exchange
537,pre-war era
538,itchen
539,populous
540,england
541,south korea
542,government
543,centre
544,anglo-saxons
545,hampshire constabulary
546,rms titanic
547,one
548,castle way
549,southampton
550,single day
551,southampton docks company
552,city
553,water supply system
554,city
555,aviation
556,pows
557,crimean war
558,shops
559,racing took place at banister court stadium in the pre-war era
560,town quay
561,southampton and district sunday football league
562,close second
563,pre-war era
564,galleries
565,figure
566,terminus
567,buildings
568,aviation
569,surviving embankment
570,authority
571,water supply system
572,blue plaque
573,castle way
574,swedish home products retailer ikea
575,uk
576,south korea
577,2003 fa cup
578,city centre
579,
580,
581,last three years
582,103-year-old former stadium
583,"22,000 students"
584,several container terminals
585,"22,267"
586,time low
587,charter
588,industrial revolution
589,southampton
590,city's population
591,southampton
592,stations
593,oxford
594,high street
595,16 wards
596,one
597,previously the coast
598,different police forces recording methodologies
599,total number
600,good quality beach
601,1992 local government act
602,residents
603,men's fitness magazine
604,one
605,1992 local government act
606,fortifications
607,langstone
608,estimated population
609,council leisure executives
610,space
611,adult learners
612,linda norris
613,passenger services
614,mixed race
615,town
616,large ships
617,25+26 hen
618,local governance organisational changes
619,first dock
620,one
621,test estuaries
622,city centre
623,water supply system
624,thousands
625,fortifications
626,london
627,town
628,southampton
629,river
630,1
631,rivers test
632,london
633,buildings
634,workers
635,southampton's ocean village marina
636,96.1 °
637,monaco
638,petrochemicals
639,europe
640,hampton
641,96.1 °
642,water supply system
643,solent sky
644,normandy
645,urban area
646,last remains
647,time low
648,city
649,11 other additional leisure venures
650,single day
651,united kingdom
652,population
653,petrochemicals
654,recession
655,number
656,high street
657,portsmouth and gosport areas
658,dance music's top acts
659,road
660,may
661,westquay park
662,spencer
663,"22,267"
664,ponds
665,enterprise
666,top flight
667,
668,city
669,1980s popstar howard jones
670,further education college
671,city
672,köppen cfb
673,previously the coast
674,strong higher education sector
675,boys’ and girls’ teams
676,river
677,england
678,dance music's top acts
679,hill lane area
680,medieval water supply system
681,country
682,1930s
683,city
684,estimated population
685,last ice age
686,high street
687,south korea
688,name
689,96.1 °
690,hampshire constabulary
691,southampton and district sunday football league
692,bus services
693,town
694,red funnel
695,boys’ and girls’ teams
696,industry
697,city
698,run
699,"22,000 students"
700,new county council
701,shops
702,bath house
703,waterfront
704,tram system
705,river
706,henry v's famous warship hms grace dieu
707,
708,st. denys
709,numerous private investors
710,eastern docks
711,town
712,hampshire ceremonial county
713,february
714,"117,400 females"
715,world jewry
716,jews
717,central europe
718,1st and 2nd centuries ce
719,present-day belarus
720,same ethnic group
721,1st and 2nd centuries ce
722,high frequencies
723,syrian jewish community
724,france was wracked by the dreyfus affair in the 1890s
725,efforts
726,the middle east
727,ashkenazi
728,central and eastern europe
729,levant
730,world jewry
731,world's jews
732,ashkenazi
733,40 %
734,often
735,orleans
736,212 ce
737,orthodox jews
738,german lands
739,ashkenazi woman who marries a sephardi or mizrahi man is expected to take on sephardic practice and the children inherit a sephardic identity
740,vladimir ashkenazy
741,number
742,ashkenazi jewish ancestry
743,moroccan jew
744,assumed geographical source population
745,holocaust
746,halakhic matters
747,secular lives
748,artisans
749,roman empire
750,kabbalah
751,1750
752,ashkenazi jews
753,11th century
754,12th century
755,12th century
756,ashkenazi jews
757,therefore 35–36%
758,yiddish language
759,uses
760,eventually eastern europe
761,ancient levantine origins
762,two distinct jewish populations
763,general european population
764,canaan
765,artisans
766,eventually eastern europe
767,ashkenazi jew
768,yiddish
769,pre-christian times
770,christianity
771,siddur ( prayer book
772,present-day belarus
773,origin
774,ashkenazi origin
775,area
776,world's jews
777,jews
778,life-style
779,sound
780,modern-day italians
781,ashkenazi jews
782,european genetic substructure
783,large number
784,minhagim
785,ashkenazi jews
786,
787,genetic overlap
788,ashkenazi jewish ancestry
789,12th century
790,halakhic questions
791,rescued jews in palestine and carried them back to worms to repay the favor
792,yiddish
793,implies
794,northwestern syria
795,canaan
796,central europe
797,daily life
798,invading persians
799,invading persians
800,local christian rulers
801,nations
802,east european ashkenazim
803,sephardic and mizrahi jews
804,percentage
805,money lending
806,nations
807,origin
808,levant
809,jewishness
810,ashkenazi jewish ancestry
811,yiddish speakers
812,cimmerians
813,siddur ( prayer book
814,distinct geographic locales
815,host community
816,canaan
817,vladimir ashkenazy
818,invading persians
819,free peoples
820,germany
821,lubavitch hasidim
822,holocaust
823,german lands
824,minhagim
825,data
826,at its exact discovery position in relation to the sun
827,"neptune,[e"
828,pluto
829,deeper atmospheric processes
830,north pole
831,french bureau des longitudes
832,result
833,position
834,jupiter
835,(נפטון
836,upper cloud
837,warmer
838,methane
839,solar system
840,sun
841,urbain le verrier
842,neptune's gravity
843,neptune
844,late 2020s
845,discovery in 1846
846,jupiter
847,french bureau des longitudes
848,2008 lc18
849,resonance
850,resembles uranus in its magnetosphere
851,tropopause layer
852,great dark spot
853,galileo's small telescope
854,moon titan
855,opaque cloud deck
856,kuiper belt object
857,1:1 resonance
858,ultraviolet radiation
859,data
860,planet's rotation
861,only spacecraft
862,much energy
863,largest moon triton
864,empirical observation
865,25 august
866,convincing astronomers
867,french bureau des longitudes
868,neptune's neighbour uranus
869,"neptune,[e"
870,roughly 40 earth years
871,temperature
872,earth
873,2008 lc18
874,the equator or possibly through some other unknown mechanism through some other unknown mechanism
875,discovery
876,mass
877,one much less substantial than that of saturn less substantial than that of saturn substantial than that of saturn
878,part
879,upper cloud
880,kuiper belt
881,solar system
882,kuiper belt object
883,1:1 resonance
884,sun
885,small apparent size
886,own gravity
887,solar system
888,le verrier
889,altitude
890,fixed star
891,example
892,planetary ring system
893,2:3 resonance
894,one much less substantial than that of saturn less substantial than that of saturn substantial than that of saturn
895,gaseous protoplanetary disc
896,sideways rotation
897,cloud deck
898,neptune's colour
899,south than the great dark spot
900,kuiper belt
901,became the penultimate known planet for a 20-year period between 1979 and 1999 when pluto 's elliptical orbit brought it closer to the sun than neptune
902,arose during the months leading up to the voyager 2 encounter in 1989 reveal the presence of clouds moving even faster than those that had initially been detected by voyager 2
903,troposphere
904,vortex structures
905,uranus is due in part to its higher internal heating
906,satellite
907,earth
908,outer planet
909,formation
910,useful observation of neptune from ground-based telescopes using adaptive optics
911,"hot , dense fluid"
912,poles
913,
914,1989 pbs all-night program
915,satellite
916,atmosphere
917,higher internal heating
918,unpredictable and highly diverse forms
919,contrast
920,man's natural perfection
921,two types
922,cultural change
923,people's essential nature
924,larger brain
925,29 ways
926,cultural studies
927,(weltanschauung
928,many cultural innovations
929,people's essential nature
930,nature
931,larger brain
932,symbolically encoded experiences
933,international intellectual movement
934,expression of the conflict between european elites and non-elites
935,taylor
936,new ideas
937,kant's and herder's interests
938,the influence first of richard hoggart
939,director
940,haute cuisine
941,present legislation
942,u.s. supreme court
943,kurtzman
944,england
945,constitution
946,private sphere
947,wall
948,public property
949,word religion
950,bondage
951,america
952,participation
953,language
954,mercer county that the continued display of the ten commandments as part of a larger display on american legal traditions in a kentucky courthouse was allowed
955,churches
956,modern establishment clause
957,anti-federalists
958,word religion
959,u.s.
960,public office
961,absolute sense
962,established church
963,nature
964,religions
965,religion
966,prayer or religious recitations in public schools
967,
968,grumet
969,god
970,argue
971,taxes
972,board of education
973,constitution
974,religious observance
975,germany
976,religion
977,public office
978,separation
979,14th amendment
980,united states as an authoritative declaration of the scope and effect of the
981,spiritual and secular worlds
982,religious principles
983,rights
984,constitution
985,nature
986,blaine amendments
987,particular religion
988,students were not compelled to recite it
989,state
990,persecution
991,`` lemon test
992,religious dimension
993,newdow
994,one
995,court
996,god
997,it could preempt the religious clauses in the state constitutions
998,churches
999,mercer county that the continued display of the ten commandments as part of a larger display on american legal traditions in a kentucky courthouse was allowed
1000,peter stuyvesant
1001,establishment clause jurisprudence
1002,taxes
1003,eighteenth century
1004,punishments
1005,united states
1006,roman catholics
1007,scholars
1008,watkins
1009,said
1010,virginia
1011,daughter
1012,
1013,public funds
1014,churches
1015,god
1016,separation
1017,tile
1018,hagia sophia
1019,beautiful mosaic pavement
1020,one solsternus
1021,abd al-malik ibn marwan
1022,original mosaic decoration
1023,5th century
1024,justinian's reign
1025,pompeii
1026,taddeo zuccari
1027,17th-century drawings
1028,kiev
1029,tribune
1030,beautiful mosaic pavement
1031,remains
1032,whose sail
1033,french invader
1034,12th–13th centuries
1035,building
1036,wall mosaics have not survived in the region because of the destruction of buildings but the st. catherine 's monastery is exceptional
1037,robot
1038,church
1039,creation process
1040,texas interstate highways
1041,destroyed
1042,contemporary palace decoration
1043,human figure
1044,arta
1045,rebuilt abbey church
1046,specific connotations
1047,mosaic floors
1048,samaritan synagogue
1049,mosaic artwork
1050,destroyed in 1922
1051,jordan
1052,santa maria maggiore
1053,decidedly byzantine character
1054,lazarium
1055,later date
1056,constantinople
1057,life
1058,high artistic quality
1059,byzantine emperor
1060,unesco world heritage site
1061,exarchate
1062,apse
1063,taddeo zuccari
1064,5th century
1065,ascension
1066,mosaic floor
1067,traditional byzantine pattern
1068,site
1069,rule
1070,later date
1071,galla placidia
1072,thessaloniki
1073,hagia irene in constantinople
1074,moorish spain
1075,lusosphere
1076,river mureş in present-day romania
1077,samu
1078,church
1079,ravenna
1080,17th century
1081,black slave
1082,technical skill
1083,ancient rome
1084,jordan
1085,constantine monomachos
1086,roman and early christian mosaic art
1087,constantine monomachos
1088,constantine monomachos
1089,called saint sophia cathedral
1090,dura-europos
1091,georgia
1092,wooden panel
1093,constantinople
1094,"precious , miniature mosaic icons"
1095,lusosphere
1096,river mureş in present-day romania
1097,interesting fusion
1098,santa constanza
1099,arab caliphate
1100,late roman mosaic art
1101,8th century
1102,novel reinvention
1103,martorana church
1104,long braided hair and rosy cheeks
1105,giotto di bondone
1106,another more simple geometric mosaic floor
1107,early 4th century
1108,papal gifts
1109,rams
1110,model
1111,1143 even more byzantine although important parts were later demolished more byzantine although important parts were later demolished demolished
1112,549
1113,most prominent artist
1114,specific connotations
1115,ancient kastron mefaa
1116,umayyad caliph
1117,
1118,mortuary chapel
1119,laterano
1120,rebuilt abbey church
1121,christian interpretations
1122,beautiful mosaic pavement
1123,libyan town
1124,apse
1125,arab caliphate
1126,jewish month
1127,high artistic quality mosaics
1128,early 4th century
1129,sant'apollinare nuovo
1130,higher accuracy
1131,18th century
1132,robot
1133,high-ranking officials
1134,constantine monomachos
1135,holy land
1136,rams
1137,constantine monomachos
1138,misleading impression
1139,umm ar-rasas
1140,santa pudenziana
1141,rams
1142,6th century
1143,figures
1144,5th century
1145,seems that it was not until the christian era that figural wall mosaics became a major form of artistic expression
1146,bowl
1147,jerusalem
1148,monreale
1149,st. catherine's monastery
1150,either side
1151,constantine monomachos
1152,coarser work
1153,important place of pilgrimage
1154,late roman mosaic art
1155,idolatry
1156,3rd millennium bc
1157,period
1158,creation process
1159,"elaborate, golden mosaics"
1160,wisdom
1161,roman and early christian mosaic art
1162,important place of pilgrimage
1163,lusosphere
1164,found at pompeii and neighbouring sites
1165,demonstration
1166,lusosphere
1167,hagia sophia
1168,portal
1169,3rd century bc
1170,constantine monomachos
1171,early 4th century
1172,tunis
1173,ava
1174,16 languages
1175,united kingdom
1176,yangon (rangoon
1177,group's name
1178,period
1179,50 million tons
1180,18th century
1181,external expansion
1182,disaster
1183,world's longest-running ongoing civil wars
1184,uk
1185,ayutthaya
1186,entire irrawaddy valley
1187,minority cultures
1188,myanmar
1189,country
1190,general saw maung
1191,population [ citation
1192,history
1193,total perimeter
1194,military rule
1195,british colony
1196,group's name
1197,protected areas
1198,first time
1199,group's name
1200,united kingdom
1201,lay people
1202,yangon
1203,arbitrary violence
1204,united kingdom
1205,lay people
1206,"400,000 years ago"
1207,territories
1208,united kingdom
1209,16th century
1210,region
1211,18th century
1212,yangon (rangoon
1213,world war ii
1214,siam
1215,country
1216,particular idea
1217,adopted the term intellectual property in their new combined title
1218,united states
1219,example
1220,rhetoric
1221,practice
1222,ip protection
1223,end
1224,trillion
1225,claim
1226,copyright
1227,automobile
1228,monopolies in the form of copyright extensions
1229,confusion
1230,confusion
1231,granted patent
1232,registration
1233,ever-changing nature
1234,granted patent
1235,patent holder
1236,gnu gpl
1237,federal crime
1238,member states
1239,law
1240,et inventeurs
1241,many jurisdictions
1242,scarcity
1243,ever-changing nature
1244,applicability
1245,october 1845 massachusetts circuit court ruling
1246,criminal law
1247,specific technological problem
1248,ip protection
1249,adopted the term intellectual property in their new combined title
1250,trademark
1251,knowledge
1252,industry
1253,industry
1254,referring
1255,ideas
1256,intellectual property
1257,member states
1258,united states
1259,member states
1260,america invents act
1261,ten or fifteen years
1262,incarceration and fines
1263,(98/84/eec
1264,trademarks
1265,a social product
1266,october 1845 massachusetts circuit court ruling
1267,example
1268,adopted the term intellectual property in their new combined title
1269,luxury
1270,business method patents
1271,trademarks
1272,motion picture association
1273,business finance
1274,other party
1275,millions
1276,life-saving medicines
1277,written form
1278,business method patents
1279,intellectual-property rights
1280,written form
1281,property rights
1282,copyright extensions
1283,criminal law
1284,average readers
1285,
1286,eastern orthodox christians
1287,harbor
1288,proper
1289,independence war
1290,gyumri
1291,dispute
1292,russia
1293,william howard russell
1294,crete
1295,previous war
1296,attack
1297,charlemagne
1298,giurgiu
1299,giurgiu
1300,withdrawal
1301,baltic was [ when
1302,june
1303,turkish province
1304,principalities
1305,vienna
1306,artillery units
1307,sevastopol
1308,orders
1309,baltic was [ when
1310,åland islands
1311,russian resistance
1312,war
1313,smaller vessels
1314,13 november
1315,turks
1316,william howard russell
1317,equipment
1318,reform
1319,encircled the city to the south
1320,negotiation
1321,baltic was [ when
1322,", re-appointed stratford canning"
1323,whole russian army
1324,war
1325,war
1326,batum
1327,disease
1328,6000 men
1329,bulgaria
1330,alexander ii
1331,russia
1332,newly invented blockade mines
1333,kept
1334,time
1335,shallow water
1336,malakoff
1337,operations
1338,north
1339,6 january
1340,alfred nobel
1341,parliament
1342,baltic was [ when
1343,epirus
1344,italy
1345,orders
1346,russian resistance
1347,part
1348,french
1349,western powers
1350,second-class citizens
1351,30 january
1352,mediterranean sea
1353,åland islands
1354,alexander ii
1355,compromise
1356,hills
1357,attack
1358,greek orthodox church
1359,kadikoi
1360,outside military or financial support
1361,two days
1362,"st. martin-in-the-field in which 1,500 people gathered to protest against the war by pelting buses"
1363,disease
1364,army
1365,western powers
1366,two days
1367,casus belli
1368,russians
1369,russian resistance
1370,austrians
1371,forgotten theatre
1372,baltic was [ when
1373,"280,000 men"
1374,worldwide attention
1375,village
1376,turkish province
1377,russian military aid
1378,roger fenton
1379,june
1380,orders
1381,february
1382,declared war
1383,franco-prussian war
1384,roger fenton
1385,interest
1386,battle
1387,problems to the south and the heavy artillery was brought ashore with batteries and connecting trenches built so that by 10 october some batteries were ready and by 17 october—when the bombardment commenced—126 guns were firing
1388,heavy casualties
1389,winter clothing
1390,"""the charge"
1391,finally
1392,turks
1393,united kingdom
1394,british hq
1395,war
1396,september
1397,north
1398,practice
1399,black sea
1400,calafat
1401,march
1402,russian resistance
1403,british army forces
1404,28 june
1405,hills
1406,baltic was [ when
1407,odessa harbour
1408,crimean peninsula
1409,marani
1410,credited[by
1411,siege
1412,kars road
1413,ottoman empire
1414,franco-prussian war
1415,28 june
1416,silistra
1417,hungarian revolution
1418,london convention
1419,principalities
1420,roger fenton
1421,duplicitous french and ottoman diplomacy
1422,oltenița
1423,many different interpretations
1424,large body
1425,region
1426,odessa harbour
1427,protection
1428,sevastopol
1429,snow balls
1430,rostov
1431,6000 men
1432,russian fleet
1433,giurgiu
1434,same turk army
1435,ottoman expense
1436,austrian foreign minister count karl von buol
1437,june
1438,erzerum
1439,europe
1440,british
1441,austrian foreign minister count karl von buol
1442,syria
1443,ottoman empire
1444,130–43
1445,kamishevaya bay
1446,point
1447,smaller vessels
1448,turkish landing
1449,europe
1450,february
1451,russian fleet
1452,calamita bay
1453,hostilities
1454,sinop
1455,seven columns
1456,ottoman military forces
1457,greek orthodox church
1458,tsarist russia
1459,wallachia
1460,ended by the treaty of paris
1461,austrian foreign minister count karl von buol
1462,number of their artillery units
1463,allies
1464,south
1465,crete
1466,cholok river border
1467,orthodox church's hierarchy
1468,shore
1469,"280,000 men"
1470,battle
1471,late july
1472,sukhum kale
1473,few hours
1474,
1475,russia
1476,malakoff
1477,village
1478,village
1479,palestine
1480,appreciable value
1481,30 march
1482,special guardian
1483,alexandropol (november
1484,russian resistance
1485,french emperor
1486,saint petersburg
1487,duplicitous french and ottoman diplomacy
1488,danube
1489,treaty
1490,nitroglycerin
1491,french
1492,forgotten theatre
1493,village
1494,", re-appointed stratford canning"
1495,rapid communications
1496,village
1497,imperial examination
1498,other `` mean '' people
1499,father
1500,ming military to get them to defect to the qing
1501,manchukuo
1502,a revolt by han in liaodong in 1623
1503,gapsin coup
1504,chinese zodiacal system
1505,kangxi emperor
1506,power
1507,time
1508,power
1509,manchu homeland
1510,viceroys
1511,early 17th century
1512,foreign legation quarter
1513,wore it in the form of a top-knot
1514,campaign
1515,fujian
1516,jahangir khoja
1517,instead
1518,chinese zodiacal system
1519,prior military experience
1520,chinese military
1521,population
1522,dorgon
1523,collection
1524,compensation for their expenses in invading china and execution of complicit officials
1525,beijing
1526,beijing
1527,eight banners
1528,authoritative reference
1529,hybrid
1530,the massive amount of han chinese soldiers which were absorbed into the eight banners by both capture and defection
1531,throne
1532,russia
1533,eight banners
1534,manchu people
1535,wu's concubine chen yuanyuan
1536,nomadic people
1537,prior military experience
1538,watershed
1539,nanjing
1540,lucrative since they were direct
1541,silver
1542,qing rulers `` bloodiest civil war of all time
1543,the person of the emperor
1544,crown
1545,death of the shunzhi emperor and the accession of his son
1546,power
1547,provinces
1548,20 million people
1549,wu's concubine chen yuanyuan
1550,maritime trade
1551,eight han banners
1552,part
1553,late ming dynasty
1554,first two han banners
1555,eight han banners
1556,hubei and hunan provinces
1557,ming dynasty
1558,brought him in close contact with the khorchin mongol domains on the plains of mongolia
1559,xinjiang
1560,"small anglo-french coalition force numbering 25,000"
1561,february
1562,beijing
1563,loyal officers
1564,bang bo
1565,dynasty
1566,manchuria
1567,population
1568,internal administration
1569,"""bondservants"
1570,a revolt by han in liaodong in 1623
1571,hundred days ' reform
1572,han banners
1573,chinese emperor
1574,private chinese merchants
1575,brought him in close contact with the khorchin mongol domains on the plains of mongolia
1576,jesus christ
1577,traditional confucian values
1578,own cabinet
1579,central government institution
1580,many newly surrendered ming officials
1581,opium trade
1582,qing court
1583,earlier dynasties
1584,soviet union
1585,fujian
1586,watershed
1587,taiping and nian rebellions
1588,social standing
1589,units
1590,published books
1591,dynasty
1592,primary military forces
1593,taiping and nian rebellions
1594,bodhisattva manjusri
1595,tungning
1596,period
1597,professional foreign service
1598,fujian
1599,eight years
1600,northeast
1601,killed in the dzungar–qing war
1602,early 17th century
1603,throne
1604,hubei and hunan provinces
1605,smallpox
1606,could allow yuan to step into the position of president of the republic of china
1607,qing dynasty
1608,great wall
1609,manchu ancestry
1610,war
1611,corpse
1612,conquests
1613,country
1614,beijing
1615,population growth
1616,beijing
1617,smallpox
1618,indochina
1619,han civilians
1620,day
1621,provinces
1622,mean ( or ignoble ) people
1623,ming dynasty
1624,"74,000 and 100,000 people"
1625,100 million to 300 million people
1626,aisin gioro relatives
1627,early 17th century
1628,base
1629,authoritative reference
1630,fief
1631,officials
1632,little evidence
1633,and b categories
1634,kangxi emperor
1635,20 million people
1636,father
1637,beginning
1638,beleaguered central government
1639,manchu culture
1640,successor
1641,many newly surrendered ming officials
1642,warlord factionalism
1643,80%
1644,chinese military
1645,summer palace
1646,top-knot
1647,kingdom
1648,dorgon
1649,immediate predecessor's capital
1650,qing military establishment
1651,throne
1652,revolt
1653,rehe
1654,fujian
1655,manchu ancestry
1656,mirror
1657,put to shame by the better performance of the han chinese green standard army
1658,silver
1659,beijing
1660,harsher
1661,proceeded with directions from empress dowager longyu
1662,japan
